997 root root 255 255 255 None None
8 Basic cell groups and regions grey 191 218 227 None 997
567 Cerebrum CH 176 240 255 None 8
688 Cerebral cortex CTX 176 255 184 None 567
695 Cortical plate CTXpl 112 255 112 None 688
315 Isocortex Isocortex 112 255 113 None 695
184 Frontal pole, cerebral cortex FRP 38 143 69 None 315
68 Frontal pole, layer 1 FRP1 38 143 69 None 184
667 Frontal pole, layer 2/3 FRP2/3 38 143 69 None 184
526157192 Frontal pole, layer 5 FRP5 38 143 69 None 184
526157196 Frontal pole, layer 6a FRP6a 38 143 69 None 184
526322264 Frontal pole, layer 6b FRP6b 38 143 69 None 184
500 Somatomotor areas MO 31 157 90 None 315
107 Somatomotor areas, Layer 1 MO1 31 157 90 None 500
219 Somatomotor areas, Layer 2/3 MO2/3 31 157 90 None 500
299 Somatomotor areas, Layer 5 MO5 31 157 90 None 500
644 Somatomotor areas, Layer 6a MO6a 31 157 90 None 500
947 Somatomotor areas, Layer 6b MO6b 31 157 90 None 500
985 Primary motor area MOp 31 157 90 None 500
320 Primary motor area, Layer 1 MOp1 31 157 90 None 985
943 Primary motor area, Layer 2/3 MOp2/3 31 157 90 None 985
648 Primary motor area, Layer 5 MOp5 31 157 90 None 985
844 Primary motor area, Layer 6a MOp6a 31 157 90 None 985
882 Primary motor area, Layer 6b MOp6b 31 157 90 None 985
993 Secondary motor area MOs 31 157 90 None 500
656 Secondary motor area, layer 1 MOs1 31 157 90 None 993
962 Secondary motor area, layer 2/3 MOs2/3 31 157 90 None 993
767 Secondary motor area, layer 5 MOs5 31 157 90 None 993
1021 Secondary motor area, layer 6a MOs6a 31 157 90 None 993
1085 Secondary motor area, layer 6b MOs6b 31 157 90 None 993
453 Somatosensory areas SS 24 128 100 None 315
12993 Somatosensory areas, layer 1 SS1 24 128 100 None 453
12994 Somatosensory areas, layer 2/3 SS2/3 24 128 100 None 453
12995 Somatosensory areas, layer 4 SS4 24 128 100 None 453
12996 Somatosensory areas, layer 5 SS5 24 128 100 None 453
12997 Somatosensory areas, layer 6a SS6a 24 128 100 None 453
12998 Somatosensory areas, layer 6b SS6b 24 128 100 None 453
322 Primary somatosensory area SSp 24 128 100 None 453
793 Primary somatosensory area, layer 1 SSp1 24 128 100 None 322
346 Primary somatosensory area, layer 2/3 SSp2/3 24 128 100 None 322
865 Primary somatosensory area, layer 4 SSp4 24 128 100 None 322
921 Primary somatosensory area, layer 5 SSp5 24 128 100 None 322
686 Primary somatosensory area, layer 6a SSp6a 24 128 100 None 322
719 Primary somatosensory area, layer 6b SSp6b 24 128 100 None 322
353 Primary somatosensory area, nose SSp-n 24 128 100 None 322
558 Primary somatosensory area, nose, layer 1 SSp-n1 24 128 100 None 353
838 Primary somatosensory area, nose, layer 2/3 SSp-n2/3 24 128 100 None 353
654 Primary somatosensory area, nose, layer 4 SSp-n4 24 128 100 None 353
702 Primary somatosensory area, nose, layer 5 SSp-n5 24 128 100 None 353
889 Primary somatosensory area, nose, layer 6a SSp-n6a 24 128 100 None 353
929 Primary somatosensory area, nose, layer 6b SSp-n6b 24 128 100 None 353
329 Primary somatosensory area, barrel field SSp-bfd 24 128 100 None 322
981 Primary somatosensory area, barrel field, layer 1 SSp-bfd1 24 128 100 None 329
201 Primary somatosensory area, barrel field, layer 2/3 SSp-bfd2/3 24 128 100 None 329
1047 Primary somatosensory area, barrel field, layer 4 SSp-bfd4 24 128 100 None 329
1070 Primary somatosensory area, barrel field, layer 5 SSp-bfd5 24 128 100 None 329
1038 Primary somatosensory area, barrel field, layer 6a SSp-bfd6a 24 128 100 None 329
1062 Primary somatosensory area, barrel field, layer 6b SSp-bfd6b 24 128 100 None 329
480149202 Rostrolateral lateral visual area VISrll 24 128 100 None 329
480149206 Rostrolateral lateral visual area, layer 1 VISrll1 24 128 100 None 480149202
480149210 Rostrolateral lateral visual area, layer 2/3 VISrll2/3 24 128 100 None 480149202
480149214 Rostrolateral lateral visual area, layer 4 VISrll4 24 128 100 None 480149202
480149218 Rostrolateral lateral visual area,layer 5 VISrll5 24 128 100 None 480149202
480149222 Rostrolateral lateral visual area, layer 6a VISrll6a 24 128 100 None 480149202
480149226 Rostrolateral lateral visual area, layer 6b VISrll6b 24 128 100 None 480149202
